Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,PlayerPictureId,PG,PM,PPTS,PTRB,PAST,PSTL,PBLK,PTO,PFGM,PFGA,P3PM,P3PA,PFTA,PFTM,POREB,PDREB,PDD,PTD
24,Desmond Bane,SG-SF,24,MEM,58,58,31.7,7.8,16.2,0.479,2.9,7,0.408,4.9,9.2,0.534,3.1,3.5,0.883,0.7,4.3,5,4.4,1,0.4,2.2,21.5,1841,450,939,166,407,284,532,181,205,43,248,291,254,56,22,126,1247,1630217,72,34,23.80556,4.88889,6.04167,1.125,0.45833,2.73611,8.73611,18.98611,3.09722,7.75,3.23611,3.68056,0.73611,4.15278,0.6,0
25,Dalano Banton,PG,23,BOS,31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,4.6,279,55,130,15,51,40,79,17,24,11,34,45,36,13,13,18,142,fallback,64,14.79688,4.35938,2.64063,2.10938,0.59375,0.21875,1.125,1.76563,4.29688,0.28125,1.07813,0.54688,0.9375,0.8125,1.82813,0,0
26,Dominick Barlow,SF,19,SAS,28,0,14.6,1.6,3.1,0.535,0,0.1,0,1.6,2.9,0.561,0.6,0.9,0.72,1.6,2,3.6,0.9,0.4,0.7,0.5,3.9,408,46,86,0,4,46,82,18,25,46,56,102,24,10,19,15,110,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Harrison Barnes,SF-PF,30,SAC,82,82,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3,5.3,0.553,4.3,5,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1,15,2662,374,791,132,353,242,438,350,413,87,279,366,128,57,10,86,1230,203084,77,32.2987,14.75325,4.48052,1.5974,0.7013,0.19481,1,4.50649,9.5974,1.58442,4.2987,4.15584,5,1.09091,3.38961,2.5,0
28,Scottie Barnes,SF-PF,21,TOR,77,76,34.8,6,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2,15.3,2678,463,1016,63,224,400,792,190,246,179,333,512,371,83,61,154,1179,1630567,77,36.19481,16.64935,7.4026,5.1039,1.20779,0.83117,1.88312,6.36364,13.4026,1,3.18182,2.92208,3.74026,2.58442,4.80519,14.2,0
29,RJ Barrett,SG-SF,22,NYK,73,73,33.9,7,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,4,5.4,0.74,0.8,4.2,5,2.8,0.4,0.2,2.2,19.6,2475,510,1176,121,390,389,786,290,392,60,308,368,201,31,15,164,1431,1629628,74,33.59459,19.21622,4.87838,2.68919,0.60811,0.32432,2.09459,6.89189,15.93243,1.63514,4.94595,3.7973,5.2027,0.78378,4.08108,3.5,0
30,Will Barton,SG,32,N/A,56,2,17.7,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.7,0.8,0.787,0.3,2.2,2.4,2,0.5,0.2,0.9,6.8,993,138,364,66,180,72,184,37,47,15,122,137,112,28,13,48,379,203115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,5.7,508,87,135,3,8,84,127,22,37,75,118,193,47,16,33,41,199,fallback,23,7.30435,3,2.69565,0.30435,0.21739,0.73913,0.34783,1.30435,2.04348,0,0.17391,0.3913,0.52174,0.95652,1.73913,0,0
32,Keita Bates-Diop,SF,27,PHO,67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.8,2.2,0.793,1,2.7,3.7,1.5,0.7,0.3,0.8,9.7,1452,236,465,56,142,180,323,119,150,65,183,248,103,46,20,56,647,1628966,65,22.8,11.21538,4.18462,1.49231,0.8,0.29231,1,4.12308,7.89231,1,2.49231,1.96923,2.49231,1.09231,3.09231,0.6,0
33,Nicolas Batum,SG-SF,34,LAC,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.4,0.6,0.708,0.8,3,3.8,1.6,0.7,0.6,0.6,6.1,1709,160,381,124,317,36,64,34,48,62,237,299,121,54,44,50,478,201587,72,19.90278,6.54167,3.45833,1.36111,0.79167,0.56944,0.54167,2.36111,5.26389,1.43056,3.68056,0.38889,0.51389,0.38889,3.06944,0,0
