San Antonio,C,Gorgui Dieng,
San Antonio,C (2W),Charles Bassey,
San Antonio,C,Khem Birch,
Team,Pos,Name,Notes
Toronto,PG,Fred VanVleet,
Toronto,PG,Malachi Flynn,
Toronto,PG,Dalano Banton,
Toronto,SG,Gary Trent Jr.,
Toronto,SG (2W),Ron Harper Jr.,
Toronto,SG (2W),Jeff Dowtin,
Toronto,SF,OG Anunoby,
Toronto,SF,Juancho Hernangomez,
Toronto,SF,Joe Wieskamp,
Toronto,SF (IR),Otto PorterJr.,Could be out for season
Toronto,PF,Scottie Barnes,
Toronto,PF,Chris Boucher,
Toronto,PF,Thaddeus Young,
Toronto,C,Pascal Siakam,
Toronto,C,Jakob Poeltl,
Toronto,C,Precious Achiuwa,
Toronto,C,Christian Koloko,
Team,Pos,Name,Notes
Utah,PG,Collin Sexton,
Utah,PG,Talen Horton-Tucker,
Utah,SG,Jordan Clarkson,
Utah,SG,Ochai Agbaji,
Utah,SG,Leandro Bolmaro,
Utah,SF,Lauri Markkanen,
Utah,SF,Juan Toscano-Anderson,
Utah,SF (2W),Johnny Juzang,
Utah,PF,Kelly Olynyk,
Utah,PF,Rudy Gay,
Utah,PF,Simone Fontecchio,
Utah,C,Walker Kessler,
Utah,C,Udoka Azubuike,
Utah,C,Damian Jones,
Utah,C (2W),Michah Potter,
Team,Pos,Name,Notes
Washington,PG,Monte Morris,
Washington,PG,Delon Wright,
Washington,PG (2W),Jordan Goodwin,
Washington,SG,Bradley Beal,
Washington,SG,Corey Kispert,
Washington,SG,Kendrick Nunn,
Washington,SG,Johnny Davis,
Washington,SF,Kyle Kuzma,
Washington,SF,Deni Avdija,
Washington,SF,Quenton Jackson,
Washington,PF,Kristaps Porzingis,
Washington,PF,Anthony Gill,
Washington,PF,Isaiah Todd,
Washington,C,Daniel Gafford,
Washington,C,Vernon Carey Jr.,
Washington,C,Taj Gibson,
